person_id,name,gender,abuser_project_count
1032202,Max Benitz,2,1
103232,Florence Lake,1,1
103259,Nikie Zambo,0,1
1032779,Lou Procopio,0,1
1033015,Gastone Pescucci,2,1
1033044,Franco Pesce,0,1
1033087,Bobbie Shaw Chance,0,1
1033099,Pete Macnamara,0,1
1033189,Kristin Fiorella,0,1
103322,Michael McGreevey,0,1
1033252,Aimee Mullins,1,2
103330,Navid Negahban,2,1
103351,Luke Treadaway,2,1
103352,Richard Riddell,2,1
1033573,Angela McEwan,1,1
1033661,Travis Knight,2,3
1033662,Arianne Sutner,1,2
1033668,Big John,0,1
103367,Archie Twitchell,0,1
1033671,Corinne Masiero,1,1
103374,Charles Busch,2,2
1033793,Linda Goldstein Knowlton,0,2
103382,Daniel B. Ullman,0,1
103388,Joey Pollari,2,1
103437,Grace Bustos,1,1
103441,Ann Harding,1,1
1034453,La La Anthony,1,3
103449,Ralph Morgan,2,1
10345,Soon-Tek Oh,2,3
103450,Kitty Kelly,1,1
1034504,Anna Margaret Hollyman,1,1
1034510,Ozzie Areu,0,1
1034513,Devan Leos,2,1
1034563,Casey Myers,0,1
103457,Wende Wagner,1,1
1034647,Ryan Widick,0,1
1034681,Tye Sheridan,2,4
103478,John Durbin,2,1
1034789,Billy Butts,2,1
103482,Lindsay Shonteff,2,1
103490,Rafaela Ottiano,0,1
103493,Pedro de Cordoba,2,1
103498,Mary Carlisle,1,1
1035,Paul Schrader,0,2
1035009,Marco Zuanelli,2,1
103503,Milton Parsons,0,1
1035098,Ian Roberts,0,1
103529,Antonio Casas,0,2
1035445,Don Ackerman,2,1
103545,Sebastian Arcelus,0,1
1035519,Jan Yanehiro,1,1
103554,Isabel Lucas,1,2
10356,Marika Green,1,1
103565,José Chávez,2,1
103569,Peter Manoogian,2,1
1035746,Thomas Anargyros,0,1
103582,Terri Treas,1,1
103592,Stephen Davies,2,1
1036,Cybill Shepherd,1,4
10360,Robert Prosky,2,4
10361,Raymond J. Barry,2,6
103613,Aldo Canti,0,3
1036196,Dexter Darden,2,1
103622,Jackie Searl,0,1
1036277,Jane Hitchcock,0,1
103628,Ursula Davis,0,1
1036289,Walter Percival,0,1
1036293,Reginald Mason,2,1
1036508,Julie Mannix,1,1
1036658,David Wyles,2,1
10367,John Waters,2,1
103672,Gordon Jones,2,2
1036843,James Balsamo,0,1
1036950,Marjorie Peterson,0,1
1037,Harvey Keitel,2,15
103707,Austin Stoker,2,1
1037286,Cesar Montano,0,1
1037391,Turner Ross,0,1
103757,Rodney Bell,2,1
1037701,Pietro Torrisi,0,2
103775,Hugh Warden,0,1
1037854,Joana de Verona,1,1
103789,Don Barry,0,2
1037891,Edward José,2,1
1037909,Kevin Kasha,0,1
1037912,Michael Arata,2,1
1038,Jodie Foster,1,5
10380,Jim Haynie,2,1
103814,Roger Hampton,2,1
1038168,Ruth Harlap,0,1
103832,Christie Lynn Smith,1,1
103834,Joe Reegan,2,1
103839,Kim Sønderholm,0,1
1038501,Jean Michaud,2,1
1038511,Azure Parsons,1,1
103852,Johnny Walker,0,1
103853,Marc Coppola,2,2
103855,David Holbrook,0,1
10386,Debra Monk,1,2
1038625,Kacey Rohl,1,1
103867,André Link,0,1
103872,Patricia Gage,1,1
103874,Terri Hanauer,1,1
1038820,Julie Mendez,0,1
1038939,Mike Lutz,0,1
1038992,Henrik Zein,2,1
1039,Peter Boyle,2,6
103903,Flip Wilson,2,1
1039097,Seth Michaels,0,1
103930,Lee Chamberlin,1,1
103933,Tico Wells,0,1
1039351,Elisabeth Müller,0,1
103939,Claudia McNeil,1,2
1039434,John Patus,0,1
103944,Dondre Whitfield,2,2
103947,Otto Hoffman,0,3
1039477,Giovanni Vettorazzo,0,1
103962,Pat Ast,1,1
1039678,David Midthunder,2,3
1039759,Andre Charisse,2,1
1039796,Ithamar Enriquez,2,3
103980,Claudia Gravy,1,1
103982,Ja'net DuBois,1,3
10399,Teri Polo,1,3
10400,Barbra Streisand,0,3
10401,Blythe Danner,1,6
104017,William 'Stage' Boyd,0,1
10402,Alanna Ubach,1,1
104036,Marty Ingels,2,1
104037,Larry Gelman,2,1
10404,Diane Johnson,1,1
104046,Bingo O'Malley,2,1
1040467,Liz McGeever,0,1
104047,Jeff Howell,2,1
104054,Judson Scott,0,1
1040564,Franklin Parker,2,1
104060,Frank Birney,2,2
1040679,Donny Boaz,0,1
1040864,IronE Singleton,2,1
1040895,Sergei Bespalov,0,1
1040896,Aaron Kaufman,0,1
1040897,Iliana Nikolic,0,1
1040898,Alexander Rodnyansky,0,1
10409,Shelley Duvall,0,5
10410,Danny Lloyd,2,1
10411,Barry Nelson,2,1
1041184,Noelle Rimmington,0,1
10412,Anne Jackson,1,2
1041213,Glenn Klinker,0,1
